"","BARRIO","FECHA","A�O_2018_PRED"
"395","Barrio Colón",2018-08-20,1.65121412803532
"396","Barrio Colón",2018-08-22,2.04294478527607
"397","Barrio Colón",2018-08-24,2.10377358490566
"398","Barrio Colón",2018-08-25,2.30827067669173
"399","Barrio Colón",2018-08-27,2.45762711864407
"400","Barrio Colón",2018-08-28,2.07
"401","Barrio Colón",2018-08-29,2.13422818791946
"402","Barrio Colón",2018-09-01,2.09803921568627
"403","Barrio Colón",2018-09-02,2.27397260273973
"404","Barrio Colón",2018-09-03,2.13675213675214
"405","Barrio Colón",2018-09-04,1.82876712328767
"406","Barrio Colón",2018-09-05,2.21965317919075
"407","Barrio Colón",2018-09-06,2.28225806451613
"408","Barrio Colón",2018-09-08,2.47107438016529
"409","Barrio Colón",2018-09-11,2.40372670807453
"410","Barrio Colón",2018-09-12,2.3828125
"411","Barrio Colón",2018-09-13,1.72727272727273
"412","Barrio Colón",2018-09-14,2.17948717948718
"413","Barrio Colón",2018-09-15,2.12844036697248
"414","Barrio Colón",2018-09-17,2.0593220338983
"415","Barrio Colón",2018-09-18,2.06578947368421
"416","Barrio Colón",2018-09-19,2.51818181818182
"417","Barrio Colón",2018-09-20,2.24603174603175
"418","Barrio Colón",2018-09-21,1.51923076923077
"419","Barrio Colón",2018-09-22,2.47107438016529
"420","Barrio Colón",2018-09-24,2.00900900900901
"421","Barrio Colón",2018-09-25,1.44578313253012
"422","Barrio Colón",2018-09-26,2.34
"423","Barrio Colón",2018-09-27,1.76847290640394
"424","Barrio Colón",2018-09-28,2.225
"425","Barrio Colón",2018-09-29,2.41269841269841
"426","Barrio Colón",2018-09-30,1.57963446475196
"427","Barrio Colón",2018-10-01,2.29906542056075
"428","Barrio Colón",2018-10-02,2.06578947368421
"429","Barrio Colón",2018-10-04,1.68994413407821
"430","Barrio Colón",2018-10-06,2.36764705882353
"431","Barrio Colón",2018-10-07,2.11646586345382
"432","Barrio Colón",2018-10-08,1.92452830188679
"433","Barrio Colón",2018-10-09,1.87378640776699
"434","Barrio Colón",2018-10-10,2.00900900900901
"435","Barrio Colón",2018-10-11,1.87076923076923
"436","Barrio Colón",2018-10-12,1.91975308641975
"437","Barrio Colón",2018-10-13,2.72
"438","Barrio Colón",2018-10-17,1.72535211267606
"439","Barrio Colón",2018-10-18,2.31067961165049
"440","Barrio Colón",2018-10-19,1.95979899497487
"441","Barrio Colón",2018-10-20,2.20408163265306
"442","Barrio Colón",2018-10-22,2.38095238095238
"443","Barrio Colón",2018-10-23,1.82945736434109
"444","Barrio Colón",2018-10-24,2.432
"445","Barrio Colón",2018-10-25,1.98529411764706
"446","Barrio Colón",2018-10-27,2.07142857142857
"447","Barrio Colón",2018-10-29,1.44578313253012
"448","Barrio Colón",2018-10-30,2.02747252747253
"449","Barrio Colón",2018-11-02,2.01156069364162
"450","Barrio Colón",2018-11-03,2.02094240837696
"451","Barrio Colón",2018-11-07,1.8625730994152
"452","Barrio Colón",2018-11-09,2.23636363636364
"453","Barrio Colón",2018-11-12,2.49107142857143
"454","Barrio Colón",2018-11-13,1.81714285714286
"455","Barrio Colón",2018-11-14,2.272
"456","Barrio Colón",2018-11-15,2.47663551401869
"457","Barrio Colón",2018-11-16,2.2991452991453
"458","Barrio Colón",2018-11-17,2.14229249011858
"459","Barrio Colón",2018-11-19,1.44578313253012
"460","Barrio Colón",2018-11-20,2.25
"461","Barrio Colón",2018-11-21,1.93670886075949
"462","Barrio Colón",2018-11-22,2.33333333333333
"463","Barrio Colón",2018-11-23,2.02094240837696
"464","Barrio Colón",2018-11-24,1.98492462311558
"465","Barrio Colón",2018-11-25,2.35454545454545
"466","Barrio Colón",2018-11-27,1.78275862068966
"467","Barrio Colón",2018-11-28,2.48543689320388
"468","Barrio Colón",2018-11-29,2.04186046511628
"469","Barrio Colón",2018-12-01,1.77160493827161
"470","Barrio Colón",2018-12-04,2.1304347826087
"471","Barrio Colón",2018-12-06,1.67241379310345
"472","Barrio Colón",2018-12-07,1.78275862068966
"473","Barrio Colón",2018-12-08,1.57943925233645
