"","SEMANA","COMUNA","A�O_2018_PRED"
"418","17","Popular",15.5797202569881
"419","17","Robledo",54.6712484759544
"420","17","San Javier",16.9697133552309
"421","17","Santa Cruz",9.80679692092994
"422","17","SN",0.228571428571429
"423","17","Villa Hermosa",20.7235995943572
"424","18","",1.10928381962865
"425","18","Aranjuez",49.0682182335838
"426","18","Belén",49.5671222710432
"427","18","Buenos Aires",26.0053750343857
"428","18","Castilla",74.2048948763655
"429","18","Corregimiento de Altavista",1.4285692074865
"430","18","Corregimiento de San Antonio de Prado",8.83041179778741
"431","18","Corregimiento de San Cristóbal",10.2860774824486
"432","18","Corregimiento de Santa Elena",3.65916767527993
"433","18","Doce de Octubre",21.9649025181824
"434","18","El Poblado",63.7389818981898
"435","18","Guayabal",58.9708328088773
"436","18","In",1.00639468997895
"437","18","La América",25.3731160361199
"438","18","La Candelaria",145.684584929081
"439","18","Laureles Estadio",79.4186058715762
"440","18","Manrique",24.6685363692886
"441","18","Popular",10.9394024405018
"442","18","Robledo",51.3231492732055
"443","18","San Javier",13.9232066956641
"444","18","Santa Cruz",11.5682120446685
"445","18","Villa Hermosa",20.6512782901196
"446","19","",1.68471512982967
"447","19","Aranjuez",57.2909768831328
"448","19","AU",0.228571428571429
"449","19","Belén",50.5151974135718
"450","19","Buenos Aires",25.7213166680673
"451","19","Castilla",68.4170624333536
"452","19","Corregimiento de Altavista",3.15502744593488
"453","19","Corregimiento de San Antonio de Prado",10.6323292735396
"454","19","Corregimiento de San Cristóbal",9.23546450543672
"455","19","Corregimiento de Santa Elena",2.40744512858785
"456","19","Doce de Octubre",25.1997072849287
"457","19","El Poblado",60.7366496774504
"458","19","Guayabal",57.4733212415898
"459","19","In",1.58284213597899
"460","19","La América",28.1324540992019
"461","19","La Candelaria",139.116767676768
"462","19","Laureles Estadio",77.6371193407653
"463","19","Manrique",28.677279395861
"464","19","Popular",13.306905977936
"465","19","Robledo",55.6488032402139
"466","19","San Javier",14.048080735067
"467","19","Santa Cruz",11.1068036725278
"468","19","Villa Hermosa",17.6856103955304
"469","19","Corregimiento de San Sebastián de Palmitas",0.252873563218391
"470","20","",1.69308910477659
"471","20","Aranjuez",56.0260175412612
"472","20","Belén",51.1719758787188
"473","20","Buenos Aires",32.6907456308167
"474","20","Castilla",69.1991959661634
"475","20","Corregimiento de Altavista",2.86796840890107
"476","20","Corregimiento de San Antonio de Prado",7.6853231098223
"477","20","Corregimiento de San Cristóbal",9.60574157882505
"478","20","Corregimiento de Santa Elena",2.26525354213274
"479","20","Doce de Octubre",19.3296451379044
"480","20","El Poblado",68.7274988208683
"481","20","Guayabal",55.122552223843
"482","20","In",0.796886446886447
"483","20","La América",24.8769620206863
"484","20","La Candelaria",143.786842684268
"485","20","Laureles Estadio",79.272181330477
